person,food type,15,30,45,60+
D4,0,10,5,0,-10
D4,1,10,10,5,0
R2,0,0,0,0,0
R2,1,0,0,0,0
R3,0,30,30,15,0
R3,1,30,30,30,0
V1,0,50,50,30,30
V1,1,50,50,30,30
V3,0,60,20,0,-20
V3,1,60,20,0,-20
V5,0,0,0,0,0
V5,1,0,0,0,0
V6,0,25,15,5,0
V6,1,30,20,10,5
V7,0,0,0,0,0
V7,1,0,0,0,0
R1,0,30,30,15,15
R1,1,30,30,15,15
F3,0,30,10,0,-5
F3,1,30,10,0,-5
R8,0,10,10,10,30
R8,1,60,20,5,5
F2,0,30,0,0,-10
F2,1,30,0,0,-10
D2,0,4,4,4,1
D2,1,4,4,4,1
R5,0,30,20,10,0
R5,1,30,20,10,0
R7,0,52,51,30,-20
R7,1,52,51,30,-20
F1,0,4,3,2,1
F1,1,4,3,2,1