person,food type,<50,50-100,100-500,500-1000,1000
D4,0,5,5,10,10,5
D4,1,5,5,10,10,10
R2,0,4,4,4,5,5
R2,1,4,4,4,5,5
R3,0,0,0,15,30,30
R3,1,0,0,15,30,30
V1,0,30,30,30,40,40
V1,1,30,30,30,40,40
V3,0,10,20,20,10,5
V3,1,10,20,20,10,5
V5,0,20,20,20,30,30
V5,1,20,20,20,30,30
V6,0,10,10,12,12,15
V6,1,10,10,12,12,15
V7,0,1,1,1,2,2
V7,1,1,1,1,2,2
R1,0,20,20,25,30,15
R1,1,20,20,25,30,15
F3,0,7,15,30,15,7
F3,1,7,15,30,15,7
R8,0,40,30,30,10,10
R8,1,40,30,30,10,10
F2,0,20,30,10,0,0
F2,1,20,30,10,0,0
D2,0,4,4,2,2,1
D2,1,4,4,2,2,1
R5,0,5,6,9,12,15
R5,1,5,6,9,12,15
R7,0,15,15,25,30,35
R7,1,15,15,25,30,35
F1,0,10,8,6,4,2
F1,1,10,8,6,4,2