seed,k,method,logloss,acc,n_train,n_left,n_right,n_indiff,n_incomp
0,10,A,0.6845904907933593,0.681,10,3,7,0,0
0,10,B1,0.6358126663328174,0.736,10,3,7,0,0
0,10,B2,0.4836656089091812,0.7734,10,3,7,0,0
0,10,C,0.6397266020511675,0.6642,10,5,5,0,0
1,10,A,0.7859998287547313,0.7254,10,4,6,0,0
1,10,B1,0.6750518328922727,0.5806,10,4,6,0,0
1,10,B2,6.749788588090528,0.7586,10,4,6,0,0
1,10,C,0.6422161494138168,0.6602,10,5,5,0,0
2,10,A,0.653406065093515,0.7534,10,3,7,0,0
2,10,B1,0.6454499807190633,0.658,10,3,7,0,0
2,10,B2,6.813040691792796,0.7564,10,3,7,0,0
2,10,C,0.6365888600192042,0.6584,10,6,4,0,0
3,10,A,0.6027366103277806,0.7264,10,6,4,0,0
3,10,B1,0.6365888600192042,0.6584,10,6,4,0,0
3,10,B2,0.5888982692507235,0.7172,10,6,4,0,0
3,10,C,0.6305187552092095,0.718,10,4,6,0,0
4,10,A,0.6134477145934026,0.76,10,4,6,0,0
4,10,B1,0.6460907641442473,0.6386,10,4,6,0,0
4,10,B2,4.301203252987023,0.7192,10,4,6,0,0
4,10,C,0.6365888600192042,0.6584,10,3,7,0,0
5,10,A,0.8994307609082484,0.6308,10,2,8,0,0
5,10,B1,0.6436224625705232,0.6866,10,2,8,0,0
5,10,B2,0.6328148189290256,0.7074,10,2,8,0,0
5,10,C,0.6456174129097199,0.678,10,6,4,0,0
6,10,A,1.0967089750026406,0.6038,10,6,4,0,0
6,10,B1,0.6460907641442473,0.6386,10,6,4,0,0
6,10,B2,7.454234010024179,0.743,10,6,4,0,0
6,10,C,0.660041384850748,0.6086,10,6,4,0,0
7,10,A,1.4015567339177692,0.5766,10,4,6,0,0
7,10,B1,0.6682459809843813,0.5964,10,4,6,0,0
7,10,B2,8.58981574206199,0.7078,10,4,6,0,0
7,10,C,0.6420237131048192,0.667,10,6,4,0,0
8,10,A,0.9213770751791962,0.7046,10,6,4,0,0
8,10,B1,0.634570597237467,0.6656,10,6,4,0,0
8,10,B2,6.5195254668366776,0.7662,10,6,4,0,0
8,10,C,0.65213898164321,0.636,10,6,4,0,0
9,10,A,0.950764464324564,0.6786,10,5,5,0,0
9,10,B1,0.6437162545794681,0.6488,10,5,5,0,0
9,10,B2,7.545653374917933,0.736,10,5,5,0,0
9,10,C,0.6528947343707773,0.6298,10,7,3,0,0
10,10,A,0.8028083026563966,0.6842,10,3,7,0,0
10,10,B1,0.6365888600192042,0.6584,10,3,7,0,0
10,10,B2,6.803630714057107,0.7604,10,3,7,0,0
10,10,C,0.6600413848507481,0.6086,10,6,4,0,0
11,10,A,0.6620396677628742,0.7648,10,7,3,0,0
11,10,B1,0.6443154738379794,0.6582,10,7,3,0,0
11,10,B2,6.683171016922615,0.7582,10,7,3,0,0
11,10,C,0.6464232025786399,0.6666,10,6,4,0,0
12,10,A,0.6428109509288582,0.7614,10,4,6,0,0
12,10,B1,0.6365888600192042,0.6584,10,4,6,0,0
12,10,B2,6.778816630957773,0.7546,10,4,6,0,0
12,10,C,0.632544498163417,0.7084,10,6,4,0,0
13,10,A,0.7383158002320264,0.73,10,5,5,0,0
13,10,B1,0.6452945352845654,0.6538,10,5,5,0,0
13,10,B2,6.480195327758596,0.7648,10,5,5,0,0
13,10,C,0.6600413848507481,0.6086,10,6,4,0,0
14,10,A,0.9019950020397016,0.7124,10,7,3,0,0
14,10,B1,0.6532199237562205,0.6544,10,7,3,0,0
14,10,B2,6.991097193092502,0.7514,10,7,3,0,0
14,10,C,0.6379888304406389,0.6966,10,4,6,0,0
15,10,A,2.0819846373771043,0.5042,10,6,4,0,0
15,10,B1,0.6750518328922727,0.5806,10,6,4,0,0
15,10,B2,1.135505633735245,0.6664,10,6,4,0,0
15,10,C,0.6591921587532262,0.6206,10,7,3,0,0
16,10,A,0.8825641940398904,0.7152,10,5,5,0,0
16,10,B1,0.6410478274149229,0.6584,10,5,5,0,0
16,10,B2,0.8827964457485741,0.7578,10,5,5,0,0
16,10,C,0.632661121460608,0.7128,10,6,4,0,0
17,10,A,0.8209589167117843,0.6904,10,5,5,0,0
17,10,B1,0.635073624561805,0.6854,10,5,5,0,0
17,10,B2,7.432175574548977,0.7414,10,5,5,0,0
17,10,C,0.6430628814218021,0.6694,10,5,5,0,0
18,10,A,1.2684994613841127,0.6474,10,6,4,0,0
18,10,B1,0.6603585150706162,0.6128,10,6,4,0,0
18,10,B2,10.183299246395356,0.6664,10,6,4,0,0
18,10,C,0.6365888600192042,0.6584,10,6,4,0,0
19,10,A,2.693841952959962,0.4274,10,6,4,0,0
19,10,B1,0.6886056147820762,0.553,10,6,4,0,0
19,10,B2,1.5586703403259738,0.5878,10,6,4,0,0
19,10,C,0.6347127259531511,0.6858,10,2,8,0,0
0,20,A,1.0265827926444584,0.7056,20,10,10,0,0
0,20,B1,0.641828694121445,0.6586,20,10,10,0,0
0,20,B2,8.018719978565507,0.724,20,10,10,0,0
0,20,C,0.6365888600192042,0.6584,20,12,8,0,0
1,20,A,0.6044034234252745,0.7074,20,9,11,0,0
1,20,B1,0.638609228276519,0.6826,20,9,11,0,0
1,20,B2,0.5413038312243581,0.7346,20,9,11,0,0
1,20,C,0.6366035383147546,0.6636,20,10,10,0,0
2,20,A,0.6523703584994371,0.7272,20,8,12,0,0
2,20,B1,0.6504874699390548,0.6772,20,8,12,0,0
2,20,B2,0.7041327749439137,0.7292,20,8,12,0,0
2,20,C,0.6362733417813524,0.6588,20,15,5,0,0
3,20,A,0.730129866069082,0.662,20,13,7,0,0
3,20,B1,0.64567306024485,0.6442,20,13,7,0,0
3,20,B2,0.6416812186952726,0.6988,20,13,7,0,0
3,20,C,0.6394926440536542,0.688,20,10,10,0,0
4,20,A,0.6909915490141668,0.738,20,9,11,0,0
4,20,B1,0.6600413848507481,0.6086,20,9,11,0,0
4,20,B2,0.9986966372193802,0.736,20,9,11,0,0
4,20,C,0.6346920382715535,0.6866,20,9,11,0,0
5,20,A,1.1040537852851733,0.6588,20,9,11,0,0
5,20,B1,0.6332507346096131,0.7056,20,9,11,0,0
5,20,B2,0.7000820120830338,0.728,20,9,11,0,0
5,20,C,0.6335499401693392,0.7032,20,10,10,0,0
6,20,A,0.7139432496548108,0.5022,20,12,8,0,0
6,20,B1,0.6636108079929866,0.611,20,12,8,0,0
6,20,B2,0.6469837493638333,0.6434,20,12,8,0,0
6,20,C,0.6320517933458488,0.7124,20,8,12,0,0
7,20,A,0.6157155169049796,0.7354,20,12,8,0,0
7,20,B1,0.6354135423574557,0.6678,20,12,8,0,0
7,20,B2,0.6594303712108667,0.7366,20,12,8,0,0
7,20,C,0.6365888600192042,0.6584,20,13,7,0,0
8,20,A,1.0085933528706807,0.7078,20,12,8,0,0
8,20,B1,0.6365888600192042,0.6584,20,12,8,0,0
8,20,B2,8.101601791308761,0.7258,20,12,8,0,0
8,20,C,0.6365888600192042,0.6584,20,10,10,0,0
9,20,A,0.5092327410883266,0.7546,20,12,8,0,0
9,20,B1,0.6365888600192042,0.6584,20,12,8,0,0
9,20,B2,0.521296705516078,0.7566,20,12,8,0,0
9,20,C,0.6357824151799716,0.6852,20,9,11,0,0
10,20,A,0.6369966953128879,0.7364,20,8,12,0,0
10,20,B1,0.6423428506480815,0.6708,20,8,12,0,0
10,20,B2,0.648242034414564,0.748,20,8,12,0,0
10,20,C,0.6365888600192042,0.6584,20,10,10,0,0
11,20,A,0.9203858912874544,0.7344,20,11,9,0,0
11,20,B1,0.6422786372921823,0.6816,20,11,9,0,0
11,20,B2,7.111364242280522,0.7448,20,11,9,0,0
11,20,C,0.6438085319543679,0.6714,20,14,6,0,0
12,20,A,0.5508504590230885,0.7438,20,9,11,0,0
12,20,B1,0.6460907641442474,0.6386,20,9,11,0,0
12,20,B2,0.5667376253701832,0.7442,20,9,11,0,0
12,20,C,0.6456826922435109,0.6886,20,9,11,0,0
13,20,A,0.6394629023199112,0.6908,20,14,6,0,0
13,20,B1,0.6600413848507481,0.6086,20,14,6,0,0
13,20,B2,0.6505844187587271,0.6916,20,14,6,0,0
13,20,C,0.6374719352667928,0.7034,20,7,13,0,0
14,20,A,0.8722962693705857,0.7074,20,12,8,0,0
14,20,B1,0.6347381176663437,0.691,20,12,8,0,0
14,20,B2,0.6313440981373265,0.7398,20,12,8,0,0
14,20,C,0.6318203793781049,0.7124,20,7,13,0,0
15,20,A,0.7131515449101133,0.728,20,16,4,0,0
15,20,B1,0.6365888600192042,0.6584,20,16,4,0,0
15,20,B2,0.6934175764518942,0.7434,20,16,4,0,0
15,20,C,0.6392378507975148,0.7432,20,9,11,0,0
16,20,A,0.8512533404737754,0.7168,20,12,8,0,0
16,20,B1,0.6365888600192042,0.6584,20,12,8,0,0
16,20,B2,6.736253919628597,0.7632,20,12,8,0,0
16,20,C,0.6489637740665183,0.673,20,7,13,0,0
17,20,A,0.801954784467503,0.7528,20,11,9,0,0
17,20,B1,0.6365888600192042,0.6584,20,11,9,0,0
17,20,B2,6.867368820059308,0.7534,20,11,9,0,0
17,20,C,0.6422594055061761,0.6562,20,7,13,0,0
18,20,A,0.7119578241668966,0.72,20,11,9,0,0
18,20,B1,0.6557461752778035,0.6306,20,11,9,0,0
18,20,B2,0.9929820291058613,0.7218,20,11,9,0,0
18,20,C,0.6483293399197717,0.6522,20,9,11,0,0
19,20,A,0.8354384836996501,0.7012,20,10,10,0,0
19,20,B1,0.6383814095269147,0.6976,20,10,10,0,0
19,20,B2,0.7230749807751923,0.7346,20,10,10,0,0
19,20,C,0.6322462681297216,0.6826,20,8,12,0,0
0,50,A,0.5169598853560323,0.7416,50,21,29,0,0
0,50,B1,0.6306287623178342,0.721,50,21,29,0,0
0,50,B2,0.505250184378777,0.749,50,21,29,0,0
0,50,C,0.632221540323995,0.7152,50,28,22,0,0
1,50,A,0.520705388917506,0.7678,50,23,27,0,0
1,50,B1,0.633422727074669,0.673,50,23,27,0,0
1,50,B2,0.49805629334244184,0.777,50,23,27,0,0
1,50,C,0.6374736936526486,0.7408,50,24,26,0,0
2,50,A,0.4985122129261006,0.7624,50,21,29,0,0
2,50,B1,0.641897230989709,0.67,50,21,29,0,0
2,50,B2,0.5017832228390611,0.763,50,21,29,0,0
2,50,C,0.6305922588991859,0.7114,50,22,28,0,0
3,50,A,0.5268721085505258,0.7426,50,22,28,0,0
3,50,B1,0.6351784381102666,0.6648,50,22,28,0,0
3,50,B2,0.5304916141915174,0.7422,50,22,28,0,0
3,50,C,0.6415330406212082,0.6628,50,29,21,0,0
4,50,A,0.48091583337557214,0.768,50,28,22,0,0
4,50,B1,0.6323930730872211,0.7328,50,28,22,0,0
4,50,B2,0.48227138100472905,0.7672,50,28,22,0,0
4,50,C,0.6372054920873342,0.7096,50,25,25,0,0
5,50,A,0.46909326582879385,0.7744,50,32,18,0,0
5,50,B1,0.6370895893383893,0.669,50,32,18,0,0
5,50,B2,0.4703688752424734,0.7744,50,32,18,0,0
5,50,C,0.632793042036963,0.6984,50,20,30,0,0
6,50,A,0.481810356229391,0.7626,50,23,27,0,0
6,50,B1,0.6388588518683238,0.7054,50,23,27,0,0
6,50,B2,0.4816267621184395,0.7632,50,23,27,0,0
6,50,C,0.6326213171968886,0.7548,50,26,24,0,0
7,50,A,0.5100129763139299,0.7676,50,27,23,0,0
7,50,B1,0.6347161049341888,0.6858,50,27,23,0,0
7,50,B2,0.5176154732984319,0.7678,50,27,23,0,0
7,50,C,0.6359626381805978,0.7328,50,26,24,0,0
8,50,A,0.510304405614508,0.7394,50,26,24,0,0
8,50,B1,0.6366205457864355,0.6642,50,26,24,0,0
8,50,B2,0.5110784945742023,0.7398,50,26,24,0,0
8,50,C,0.6373179956245759,0.7016,50,32,18,0,0
9,50,A,0.48318914066927593,0.7634,50,30,20,0,0
9,50,B1,0.6417097805957568,0.6624,50,30,20,0,0
9,50,B2,0.48325040522796564,0.7638,50,30,20,0,0
9,50,C,0.6341582354235703,0.6692,50,26,24,0,0
10,50,A,0.5355316280127834,0.7238,50,26,24,0,0
10,50,B1,0.6593118903610125,0.6222,50,26,24,0,0
10,50,B2,0.5363714674983078,0.7244,50,26,24,0,0
10,50,C,0.6419354727027808,0.6696,50,29,21,0,0
11,50,A,0.5089882180250286,0.7506,50,25,25,0,0
11,50,B1,0.6359777276792061,0.6606,50,25,25,0,0
11,50,B2,0.5112622434662671,0.751,50,25,25,0,0
11,50,C,0.6306585751889776,0.7084,50,26,24,0,0
12,50,A,0.6995295385706791,0.722,50,24,26,0,0
12,50,B1,0.6310052638515635,0.6974,50,24,26,0,0
12,50,B2,0.7163327388616387,0.723,50,24,26,0,0
12,50,C,0.634259466426431,0.667,50,29,21,0,0
13,50,A,0.49032832243645535,0.7644,50,21,29,0,0
13,50,B1,0.6365888600192042,0.6584,50,21,29,0,0
13,50,B2,0.4935458237450677,0.7642,50,21,29,0,0
13,50,C,0.6386270260194452,0.7058,50,29,21,0,0
14,50,A,0.5576449160363687,0.7298,50,23,27,0,0
14,50,B1,0.6336474678629527,0.672,50,23,27,0,0
14,50,B2,0.5608803423293565,0.73,50,23,27,0,0
14,50,C,0.6318370915353814,0.6874,50,28,22,0,0
15,50,A,0.5794044914834142,0.726,50,23,27,0,0
15,50,B1,0.6347178299813391,0.6912,50,23,27,0,0
15,50,B2,0.5143476307002015,0.7562,50,23,27,0,0
15,50,C,0.6309301442925871,0.7224,50,29,21,0,0
16,50,A,0.4930579843827508,0.7694,50,26,24,0,0
16,50,B1,0.6365888600192042,0.6584,50,26,24,0,0
16,50,B2,0.49765933864405415,0.7698,50,26,24,0,0
16,50,C,0.6312396928888203,0.7214,50,20,30,0,0
17,50,A,0.5344009913804504,0.7368,50,27,23,0,0
17,50,B1,0.6306553069592841,0.7208,50,27,23,0,0
17,50,B2,0.53922107395834,0.7352,50,27,23,0,0
17,50,C,0.63522717102032,0.6968,50,27,23,0,0
18,50,A,0.593168242602675,0.7108,50,22,28,0,0
18,50,B1,0.6600413848507479,0.6086,50,22,28,0,0
18,50,B2,0.5899591168534793,0.719,50,22,28,0,0
18,50,C,0.632873231126003,0.7494,50,23,27,0,0
19,50,A,0.4967857744894185,0.757,50,23,27,0,0
19,50,B1,0.6356202167818344,0.7226,50,23,27,0,0
19,50,B2,0.49814176937933996,0.757,50,23,27,0,0
19,50,C,0.6353338654264651,0.6872,50,27,23,0,0
0,100,A,0.46938512763280243,0.7732,100,53,47,0,0
0,100,B1,0.6307730641256141,0.7092,100,53,47,0,0
0,100,B2,0.4695893379027157,0.7732,100,53,47,0,0
0,100,C,0.6327168835917361,0.7128,100,43,57,0,0
1,100,A,0.5064846111447003,0.752,100,56,44,0,0
1,100,B1,0.6426218784292561,0.6878,100,56,44,0,0
1,100,B2,0.5069710007649026,0.7522,100,56,44,0,0
1,100,C,0.6305493965464924,0.713,100,47,53,0,0
2,100,A,0.49316819182139987,0.7636,100,50,50,0,0
