tau,tau_prime,method,final_cos_sim,final_cos_sim_stderr,final_l1_error,final_l1_stderr,final_holdout_ll,final_holdout_ll_stderr,n_left,n_right,n_indifferent,n_incomparable,n_decisive_total,n_forced,cos_sim_curve,l1_curve,holdout_ll_curve
0.6,0.2,multiframe,0.9997882558926366,0.0,0.0253947154417696,0.0,0.030456051035946636,0.0,11,15,22,2,26,0,"0.9587,0.9851,0.9162,0.9148,0.9899,0.9796,0.9928,0.9995,0.9785,0.9978,0.9941,0.9998,0.9927,0.9974,0.9974,0.9911,0.9713,0.9973,0.9961,0.9949,0.9979,0.9990,0.9936,0.9892,0.9995,0.9989,0.9994,0.9978,0.9959,0.9990,0.9993,0.9995,0.9996,0.9968,0.9983,0.9966,0.9937,0.9992,0.9989,0.9986,0.9993,0.9999,0.9999,0.9975,0.9987,0.9990,0.9996,0.9997,0.9994,0.9998","0.3225,0.1806,0.5306,0.5142,0.1523,0.2258,0.1572,0.0349,0.2343,0.0982,0.1480,0.0244,0.1234,0.0854,0.0780,0.1628,0.2425,0.0930,0.0922,0.1168,0.0776,0.0622,0.1397,0.1596,0.0401,0.0707,0.0416,0.0813,0.1134,0.0615,0.0491,0.0386,0.0309,0.1010,0.0874,0.1146,0.1419,0.0518,0.0477,0.0674,0.0478,0.0230,0.0149,0.0760,0.0745,0.0543,0.0343,0.0267,0.0416,0.0254","1.7335,1.3913,1.7341,1.7341,1.0604,0.0280,0.0301,0.3691,0.0264,0.0311,0.0283,0.3685,0.0264,0.3671,0.0322,0.0293,1.7389,0.7111,0.0308,0.3700,0.7105,0.3672,0.7155,1.0527,0.3667,0.0313,0.3679,0.0244,0.3721,0.0305,0.0305,0.3690,0.0273,0.3688,0.0295,0.0305,0.0285,0.0293,0.0263,0.0266,0.0295,0.0276,0.3683,0.0315,0.7062,0.0308,0.3672,0.0311,0.0291,0.0305"
0.6,0.2,bt_laplace_bald,0.36047055254707644,0.0,1.2464727547676606,0.0,2.1506148492681776,0.0,3,1,46,0,4,0,"0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.6674,0.6674,0.6674,0.6934,0.6934,0.6934,0.6934,0.6934,0.6396,0.6396,0.6396,0.3605,0.3605,0.3605,0.3605,0.3605,0.3605,0.3605,0.3605","0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.8536,0.8536,0.8536,0.7390,0.7390,0.7390,0.7390,0.7390,0.7974,0.7974,0.7974,1.2465,1.2465,1.2465,1.2465,1.2465,1.2465,1.2465,1.2465","0.6673,0.6673,0.6673,0.6673,0.6673,0.6673,0.6673,0.6673,0.6673,0.6673,0.6673,0.6673,0.6673,0.6673,0.6673,0.6673,0.6673,0.6673,0.6673,0.6673,0.6673,0.6673,0.6673,0.6673,0.6673,0.6673,0.6673,0.6673,0.6673,0.6673,0.6673,0.8351,0.8351,0.8351,0.8151,0.8151,0.8151,0.8151,0.8151,0.9143,0.9143,0.9143,2.1506,2.1506,2.1506,2.1506,2.1506,2.1506,2.1506,2.1506"
0.6,0.2,bt_laplace_bald_k,0.7401532722059396,0.0,0.8307208085250949,0.0,0.2692716444564204,0.0,20,30,226,3,50,0,"0.6850,0.2920,0.4901,0.3548,0.4557,0.7300,0.7764,0.7542,0.7409,0.7461,0.7868,0.8580,0.8513,0.8150,0.7932,0.7894,0.7856,0.7899,0.7922,0.7897,0.7944,0.7870,0.8010,0.7993,0.7769,0.7745,0.7715,0.7843,0.7805,0.7804,0.7821,0.7866,0.7793,0.7813,0.7818,0.7826,0.7865,0.7835,0.7882,0.7894,0.7872,0.7733,0.7771,0.7626,0.7522,0.7635,0.7437,0.7468,0.7395,0.7402","0.7989,1.3975,1.1608,1.2280,1.1506,0.7725,0.7447,0.7706,0.7620,0.7445,0.6728,0.5943,0.5958,0.6750,0.7136,0.7163,0.7114,0.7006,0.7053,0.7171,0.7120,0.7069,0.6929,0.6958,0.7472,0.7621,0.7652,0.7453,0.7575,0.7628,0.7587,0.7599,0.7711,0.7720,0.7632,0.7597,0.7599,0.7586,0.7618,0.7608,0.7633,0.7825,0.7768,0.8017,0.8133,0.7897,0.8233,0.8125,0.8261,0.8307","0.8850,3.2991,2.2379,1.6359,1.8568,0.4898,0.2840,0.3468,0.4346,0.4027,0.3434,0.2389,0.2609,0.2079,0.2678,0.2823,0.3165,0.3063,0.2872,0.2836,0.2716,0.3218,0.2743,0.2810,0.2997,0.2818,0.2914,0.2578,0.2528,0.2411,0.2390,0.2045,0.2168,0.2089,0.2283,0.2303,0.2095,0.2232,0.1905,0.1854,0.1974,0.2269,0.2233,0.2483,0.2774,0.2641,0.2864,0.2825,0.2886,0.2693"
0.6,0.2,bt_laplace_bald_random,0.4574032089575239,0.0,0.9397158514110662,0.0,1.001656392751519,0.0,6,4,40,0,50,40,"0.6833,0.5799,0.5352,0.8175,0.7280,0.7070,0.6293,0.6546,0.4994,0.5388,0.5306,0.5373,0.5376,0.5180,0.5070,0.5135,0.5630,0.5334,0.5303,0.5435,0.5619,0.5287,0.5412,0.5828,0.5519,0.5115,0.4699,0.4928,0.4910,0.4563,0.4506,0.4671,0.3870,0.4313,0.3837,0.4247,0.3681,0.4278,0.5119,0.4365,0.4207,0.3688,0.3826,0.3963,0.4335,0.4264,0.4841,0.4702,0.4275,0.4574","0.8994,1.0237,1.0930,0.7398,0.8589,0.8303,0.8722,0.8692,1.0092,0.9451,1.0024,0.9765,1.0048,1.0191,1.0465,1.0480,0.9870,1.0247,1.0246,1.0126,0.9732,1.0075,1.0063,0.9329,0.9770,1.0352,1.0953,1.0805,1.0678,1.1357,1.1439,1.1245,1.2220,1.1574,1.2210,1.1922,1.2463,1.1658,1.0508,1.0953,1.1384,1.1766,1.1822,1.1541,1.1099,1.0760,0.9817,1.0094,1.0101,0.9397","0.6356,0.8050,1.1405,0.0075,0.1744,0.7092,1.0835,0.9642,1.8879,1.6647,1.6212,1.6298,1.5639,1.6597,1.7097,1.7474,1.4742,1.7570,1.7321,1.6174,1.4416,1.7178,1.6993,1.3342,1.6369,1.5140,1.7736,1.5903,1.6416,1.6280,1.6265,1.5954,1.5391,1.5332,1.6201,1.5312,1.6477,1.4755,1.1471,1.2891,1.3044,1.3598,1.3137,1.3935,1.4289,1.3078,1.1853,1.2951,1.1014,1.0017"
0.6,0.2,bt_laplace_bald_left,0.7394577441073383,0.0,0.7945168705588135,0.0,0.2997689869799697,0.0,6,6,38,0,50,38,"0.4341,0.4785,0.5486,0.4649,0.8890,0.7070,0.7482,0.7137,0.7792,0.7561,0.7603,0.7645,0.8012,0.7856,0.7921,0.7983,0.7656,0.7106,0.7914,0.7670,0.7593,0.7621,0.7378,0.7453,0.7447,0.7430,0.7432,0.7425,0.7352,0.7413,0.7456,0.7369,0.7352,0.7225,0.7261,0.7269,0.7328,0.7222,0.7337,0.7335,0.7348,0.7456,0.7415,0.7495,0.7457,0.7394,0.7480,0.7537,0.7559,0.7395","0.9875,0.9687,0.9031,0.9896,0.5417,0.8173,0.7062,0.8048,0.7747,0.8223,0.7788,0.7763,0.7160,0.7524,0.7460,0.7398,0.7893,0.8525,0.7566,0.7934,0.7942,0.7860,0.8281,0.8130,0.8161,0.8104,0.8096,0.8118,0.8264,0.8114,0.8185,0.8197,0.8272,0.8366,0.8368,0.8414,0.8348,0.8378,0.8261,0.8202,0.8187,0.8039,0.8097,0.7952,0.7919,0.8029,0.7912,0.7887,0.7866,0.7945","2.3571,2.1183,1.3903,1.6995,0.1912,0.5044,0.4170,0.4560,0.1484,0.1438,0.2812,0.2453,0.2124,0.1989,0.1719,0.1556,0.2327,0.4182,0.2153,0.2304,0.2212,0.2142,0.2439,0.2519,0.2518,0.2746,0.2765,0.2556,0.2456,0.2399,0.2299,0.2461,0.2659,0.2902,0.2628,0.2404,0.2284,0.2749,0.2316,0.2381,0.2484,0.2248,0.2553,0.2352,0.2532,0.2513,0.2487,0.2423,0.2263,0.2998"
0.6,0.4,multiframe,0.998125078426893,0.0,0.07804806531113032,0.0,0.06572787569308483,0.0,11,11,20,8,22,0,"0.6267,0.7910,0.7709,0.8580,0.7542,0.9678,0.9797,0.9565,0.9761,0.9837,0.9462,0.9955,0.9934,0.9600,0.9891,0.9612,0.9415,0.9886,0.9984,0.9880,0.9987,0.9949,0.9923,0.9990,0.9898,0.9979,0.9942,0.9996,0.9985,0.9989,0.9982,0.9963,0.9961,0.9387,0.9990,0.9904,0.9986,0.9949,0.9995,0.9997,0.9992,0.9992,0.9989,0.9991,0.9996,0.9962,0.9987,0.9973,0.9984,0.9981","0.8548,0.6407,0.6654,0.5485,0.7364,0.2878,0.2590,0.3316,0.2581,0.2068,0.3837,0.1273,0.1382,0.3295,0.1719,0.3305,0.3789,0.2200,0.0622,0.2032,0.0625,0.1215,0.1311,0.0443,0.1647,0.0869,0.1519,0.0350,0.0713,0.0519,0.0743,0.0930,0.1091,0.4840,0.0566,0.1504,0.0623,0.1154,0.0416,0.0301,0.0528,0.0536,0.0485,0.0453,0.0314,0.1109,0.0551,0.0925,0.0730,0.0780","1.7343,1.7377,1.7369,1.7372,1.7361,1.0682,1.0594,1.3964,1.3968,1.3991,1.3983,0.3987,0.4016,1.3957,1.0786,1.3974,1.3980,1.3959,0.3954,1.0757,0.0634,0.3994,0.7368,0.0701,0.4007,0.7376,0.4021,0.0690,0.4167,0.3979,0.0619,0.7312,0.0694,1.4372,0.0621,0.3993,0.0610,0.4026,0.0637,0.0669,0.0670,0.0679,0.0586,0.4099,0.0686,0.0610,0.4075,0.3927,0.0588,0.0657"
0.6,0.4,bt_laplace_bald,0.5392047752857574,0.0,0.8611157142123396,0.0,0.6991357099832121,0.0,4,3,42,1,7,0,"0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.5367,0.5367,0.5367,0.3679,0.3679,0.3679,0.3679,0.3679,0.3679,0.3679,0.3679,0.3778,0.3778,0.3509,0.3509,0.3509,0.3509,0.3509,0.3509,0.3509,0.3509,0.3509,0.3475,0.3475,0.3475,0.5728,0.5392,0.5392","0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.8855,0.8855,0.8855,1.0665,1.0665,1.0665,1.0665,1.0665,1.0665,1.0665,1.0665,1.0818,1.0818,1.0951,1.0951,1.0951,1.0951,1.0951,1.0951,1.0951,1.0951,1.0951,1.1657,1.1657,1.1657,0.9516,0.8611,0.8611","0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,0.2471,0.2471,0.2471,0.2471,0.2471,0.2471,0.2471,0.2471,0.2187,0.2187,0.3114,0.3114,0.3114,0.3114,0.3114,0.3114,0.3114,0.3114,0.3114,0.2592,0.2592,0.2592,0.5985,0.6991,0.6991"
0.6,0.4,bt_laplace_bald_k,0.6921046253642463,0.0,0.8837994915806887,0.0,1.1566229742211493,0.0,21,19,456,4,40,0,"0.6354,0.6699,0.7450,0.7196,0.7799,0.7100,0.7428,0.5809,0.5475,0.6226,0.5775,0.5830,0.5777,0.5808,0.6117,0.6258,0.6390,0.6356,0.6403,0.6463,0.6590,0.6645,0.6706,0.6760,0.6858,0.6759,0.6983,0.6953,0.6636,0.6818,0.6711,0.7114,0.7312,0.7334,0.7254,0.7167,0.7020,0.6922,0.6951,0.6921,0.6921,0.6921,0.6921,0.6921,0.6921,0.6921,0.6921,0.6921,0.6921,0.6921","0.7850,0.7882,0.6606,0.6830,0.5990,0.7259,0.7442,0.9628,1.0310,0.9314,1.0196,0.9986,1.0113,1.0102,0.9968,0.9662,0.9136,0.9228,0.9179,0.9103,0.8928,0.8934,0.8875,0.8836,0.8601,0.8666,0.8489,0.8662,0.9253,0.8937,0.9078,0.8417,0.8171,0.8230,0.8270,0.8339,0.8632,0.8825,0.8752,0.8838,0.8838,0.8838,0.8838,0.8838,0.8838,0.8838,0.8838,0.8838,0.8838,0.8838","0.8876,1.0936,1.3315,0.9503,1.2545,1.1565,1.3381,1.2265,1.2102,1.2129,1.1285,0.9522,1.0622,1.0681,1.1132,1.2038,1.0752,1.0815,1.1381,1.1531,1.1455,1.1791,1.2078,1.2350,1.2069,1.2064,1.3134,1.3268,1.2808,1.3098,1.2618,1.0620,1.0228,1.0517,1.0453,1.0422,1.0689,1.1083,1.1334,1.1566,1.1566,1.1566,1.1566,1.1566,1.1566,1.1566,1.1566,1.1566,1.1566,1.1566"
0.6,0.4,bt_laplace_bald_random,0.7390695525235108,0.0,0.7138904925236307,0.0,0.6682942717544239,0.0,16,6,25,3,50,28,"0.6415,0.7420,0.7715,0.7888,0.7009,0.7446,0.6572,0.6816,0.6632,0.6384,0.6598,0.7214,0.6879,0.7010,0.7487,0.7377,0.8026,0.7887,0.7919,0.8264,0.7957,0.8239,0.8624,0.8145,0.8159,0.8287,0.8352,0.8409,0.8331,0.8468,0.8048,0.7743,0.6440,0.7328,0.7390,0.7487,0.8058,0.7932,0.7974,0.8391,0.7711,0.6899,0.6690,0.6779,0.7278,0.7190,0.6978,0.7379,0.7546,0.7391","0.7928,0.6921,0.6228,0.7013,0.7665,0.6612,0.8018,0.7658,0.7669,0.7918,0.7904,0.7123,0.7446,0.7273,0.6835,0.7172,0.6226,0.6373,0.6252,0.5775,0.6189,0.5410,0.4944,0.5610,0.5855,0.5852,0.5793,0.5772,0.5864,0.5709,0.6250,0.6716,0.8290,0.7116,0.6817,0.6760,0.6071,0.6303,0.6897,0.6104,0.7636,0.8798,0.8417,0.8277,0.7437,0.8213,0.8219,0.7233,0.6799,0.7139","1.0295,1.6233,1.9924,1.5534,1.0481,1.2213,0.7911,0.7413,0.6979,0.6174,0.6960,0.8674,0.7674,0.8226,0.9337,0.8561,0.9287,0.9191,0.9860,1.0180,0.9121,0.7871,0.8170,0.7845,0.7648,0.8035,0.8241,0.8804,0.7593,0.7609,0.7201,0.6616,0.6413,0.6343,0.6417,0.6447,0.6726,0.6801,0.6945,0.7194,0.6929,0.6816,0.6631,0.6591,0.6613,0.6789,0.6715,0.6634,0.6610,0.6683"
0.6,0.4,bt_laplace_bald_left,0.8101541704479976,0.0,0.5917194571413955,0.0,1.2735052917159968,0.0,7,7,35,1,50,36,"0.6467,0.7358,0.7303,0.9104,0.9395,0.8980,0.9045,0.8014,0.8199,0.7837,0.8065,0.8525,0.8529,0.8559,0.8661,0.8790,0.8645,0.8129,0.8178,0.8326,0.8124,0.8145,0.8369,0.8279,0.8145,0.8083,0.8120,0.8050,0.8265,0.8209,0.8245,0.8202,0.8159,0.8115,0.7904,0.7992,0.7969,0.7919,0.7885,0.7884,0.7931,0.7913,0.7761,0.8017,0.8044,0.8183,0.8110,0.8195,0.8213,0.8102","0.8009,0.6998,0.6995,0.4838,0.3929,0.4491,0.4380,0.6153,0.5306,0.5775,0.5765,0.5320,0.5368,0.5185,0.5050,0.5122,0.5226,0.5972,0.5778,0.5623,0.5950,0.5878,0.5547,0.5748,0.5841,0.5871,0.5925,0.6067,0.5627,0.5734,0.5625,0.5764,0.5752,0.5817,0.6212,0.6003,0.6029,0.6078,0.6117,0.6147,0.6082,0.6099,0.6278,0.5969,0.6144,0.5944,0.5941,0.5813,0.5696,0.5917","0.9833,1.6220,1.0271,3.0217,2.8706,2.2302,2.3954,1.6681,1.5544,1.3839,1.5020,1.9003,1.9250,1.9104,1.9842,1.2985,1.3407,1.1196,1.1716,1.2778,1.2428,1.3173,1.3982,1.3458,1.3464,1.3768,1.3955,1.4358,1.5275,1.5398,1.6344,1.6820,1.7061,1.7348,1.6200,1.5024,1.5098,1.5346,1.5469,1.5804,1.6479,1.6524,1.4092,1.2877,1.3905,1.5370,1.4414,1.5315,1.4225,1.2735"
0.6,0.6,multiframe,0.9994890902368819,0.0,0.038503581781089785,0.0,0.3997398272883093,0.0,18,7,20,5,25,0,"0.8986,0.8659,0.9133,0.9533,0.9678,0.9803,0.9764,0.9751,0.9936,0.9779,0.9832,0.9837,0.9868,0.9936,0.9949,0.9807,0.9884,0.9896,0.9860,0.9945,0.9905,0.9892,0.9948,0.9856,0.9896,0.9936,0.9949,0.9937,0.9975,0.9957,0.9951,0.9950,0.9985,0.9986,0.9971,0.9979,0.9992,0.9981,0.9998,0.9993,0.9990,0.9985,0.9969,0.9996,0.9987,0.9966,0.9996,0.9994,0.9995,0.9995","0.4679,0.5399,0.5049,0.3968,0.3136,0.2412,0.2559,0.2463,0.1444,0.2693,0.2287,0.2093,0.1517,0.1295,0.1021,0.2355,0.1439,0.1599,0.1893,0.1118,0.1778,0.2094,0.1081,0.2118,0.1834,0.1249,0.1375,0.1161,0.0922,0.0994,0.1128,0.1035,0.0722,0.0631,0.0794,0.0827,0.0486,0.0729,0.0186,0.0467,0.0586,0.0686,0.0851,0.0274,0.0570,0.1007,0.0337,0.0534,0.0330,0.0385","2.4305,3.1085,2.1074,3.1085,1.0798,1.7606,1.0809,1.4219,0.7389,1.0821,1.0837,1.0853,1.4237,0.0621,1.0727,1.7618,1.4209,1.4228,1.7638,1.4133,1.0811,1.4189,1.4144,2.0935,1.0855,1.4165,1.0758,1.0815,0.3975,0.4022,0.4005,0.7401,0.0576,0.3981,0.4040,0.7372,0.0615,0.4055,0.0628,0.7423,0.4048,0.0664,1.0700,0.4014,0.3969,1.0809,0.0628,0.4024,0.0576,0.3997"
0.6,0.6,bt_laplace_bald,0.5713827557361589,0.0,1.0626366799565987,0.0,0.20798054028926521,0.0,2,5,42,1,7,0,"0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.6667,0.5223,0.5223,0.5223,0.5223,0.5223,0.5223,0.6293,0.6293,0.6141,0.6141,0.6774,0.6774,0.6774,0.6774,0.6774,0.6774,0.5223,0.5223,0.5223,0.5223,0.5223,0.5223,0.5223,0.5223,0.5223,0.5223,0.5223,0.5223,0.5223,0.5714","0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.6820,0.7411,0.9164,0.9164,0.9164,0.9164,0.9164,0.9164,0.7933,0.7933,0.9893,0.9893,0.9115,0.9115,0.9115,0.9115,0.9115,0.9115,1.1271,1.1271,1.1271,1.1271,1.1271,1.1271,1.1271,1.1271,1.1271,1.1271,1.1271,1.1271,1.1271,1.0626","0.5924,0.5924,0.5924,0.5924,0.5924,0.5924,0.5924,0.5924,0.5924,0.5924,0.5924,0.5924,0.5924,0.5924,0.5924,0.5924,0.5924,0.5924,0.5924,0.1989,0.4227,0.4227,0.4227,0.4227,0.4227,0.4227,0.2309,0.2309,0.6830,0.6830,0.6536,0.6536,0.6536,0.6536,0.6536,0.6536,0.2816,0.2816,0.2816,0.2816,0.2816,0.2816,0.2816,0.2816,0.2816,0.2816,0.2816,0.2816,0.2816,0.2080"
0.6,0.6,bt_laplace_bald_k,0.8701490910244888,0.0,0.5596098788161288,0.0,0.12407671214319449,0.0,24,26,199,17,50,0,"0.6939,0.6785,0.6513,0.4403,0.7503,0.5922,0.6249,0.7024,0.7256,0.7319,0.7735,0.7711,0.7999,0.7920,0.7953,0.7889,0.8003,0.7868,0.7742,0.7931,0.8112,0.8415,0.8315,0.8198,0.8188,0.8168,0.8119,0.8315,0.8382,0.8620,0.8709,0.8738,0.8654,0.8608,0.8836,0.8818,0.8877,0.8697,0.8772,0.8698,0.8847,0.8676,0.8775,0.8847,0.8879,0.8750,0.8721,0.8629,0.8606,0.8701","0.8066,0.8244,0.9278,1.1370,0.7481,0.8612,0.9351,0.8232,0.8244,0.7055,0.7287,0.7434,0.7442,0.7583,0.7321,0.7543,0.7430,0.7568,0.7705,0.7412,0.6995,0.6529,0.6806,0.6933,0.6862,0.6902,0.6908,0.6636,0.6300,0.5852,0.5544,0.5428,0.5800,0.5940,0.5396,0.5426,0.5184,0.5660,0.5397,0.5712,0.5240,0.5665,0.5499,0.5351,0.5201,0.5583,0.5670,0.5786,0.5846,0.5596","0.1004,0.1726,0.2486,0.2841,0.0475,0.3812,0.4572,0.3876,0.6887,0.3052,0.3178,0.3914,0.3688,0.3817,0.3048,0.3405,0.3943,0.3435,0.2994,0.3003,0.2825,0.2674,0.3186,0.3045,0.2964,0.2950,0.2664,0.2067,0.1645,0.1581,0.1331,0.1252,0.1304,0.1396,0.1212,0.1474,0.1399,0.1404,0.1328,0.1378,0.1203,0.1349,0.1343,0.1257,0.1206,0.1271,0.1335,0.1283,0.1295,0.1241"
0.6,0.6,bt_laplace_bald_random,0.7325750298531557,0.0,0.8141229139914721,0.0,0.22494360822095397,0.0,3,5,39,3,50,42,"0.6597,0.6931,0.8573,0.8941,0.7432,0.8992,0.5465,0.6504,0.6009,0.5225,0.6769,0.6606,0.7241,0.6502,0.7050,0.7511,0.7318,0.7179,0.7386,0.7132,0.7274,0.7320,0.7263,0.6902,0.6842,0.6952,0.7019,0.6984,0.7355,0.7470,0.7420,0.7329,0.7131,0.7174,0.7043,0.7554,0.7358,0.6832,0.7371,0.7383,0.7364,0.7203,0.7345,0.7467,0.7442,0.7497,0.7345,0.7369,0.7050,0.7326","0.8586,0.7281,0.5456,0.4824,0.7958,0.4546,0.8928,0.8218,0.9894,1.1090,0.8732,0.9268,0.8411,0.9120,0.8826,0.7433,0.7565,0.7392,0.7100,0.7603,0.7625,0.7438,0.7602,0.8280,0.8401,0.8262,0.7920,0.7881,0.7263,0.7384,0.7616,0.7860,0.8287,0.8174,0.8536,0.7601,0.8223,0.8829,0.7985,0.8064,0.8166,0.8424,0.8116,0.7884,0.7996,0.7931,0.8264,0.8096,0.8592,0.8141","0.1521,0.0328,0.0415,0.0675,0.2077,0.1004,0.3846,0.3178,0.4382,0.5109,0.3155,0.3233,0.2711,0.3097,0.2972,0.1655,0.1812,0.2067,0.1867,0.2110,0.2027,0.1942,0.2057,0.2697,0.2998,0.2806,0.2671,0.2815,0.2077,0.2011,0.1821,0.2033,0.2339,0.2427,0.2788,0.2186,0.2462,0.2947,0.2760,0.2725,0.2603,0.2736,0.2356,0.2251,0.2222,0.2186,0.2322,0.2159,0.2492,0.2249"
0.6,0.6,bt_laplace_bald_left,0.8346741195909292,0.0,0.5851581183591088,0.0,0.2680044587456683,0.0,8,8,31,3,50,34,"0.6984,0.7374,0.2788,0.4783,0.6740,0.6184,0.6668,0.7374,0.7310,0.7084,0.6691,0.6943,0.6986,0.7325,0.8415,0.7949,0.8498,0.7928,0.6909,0.7206,0.6450,0.7762,0.7537,0.7811,0.7376,0.6897,0.6865,0.6898,0.7701,0.7793,0.7540,0.7498,0.7641,0.7763,0.7617,0.7792,0.7740,0.7684,0.7757,0.7408,0.7543,0.7426,0.7303,0.7512,0.7704,0.7663,0.7914,0.7957,0.8223,0.8347","0.8059,0.7060,1.3516,1.2226,0.9431,1.0218,0.9405,0.8353,0.8691,0.8896,0.9489,0.9070,0.9147,0.8577,0.6761,0.7599,0.6517,0.6718,0.8146,0.8063,0.9171,0.7505,0.7919,0.7806,0.8382,0.9163,0.9222,0.9249,0.8202,0.8122,0.8327,0.8315,0.8257,0.8012,0.8122,0.7809,0.7916,0.7966,0.7855,0.8495,0.8347,0.8449,0.8395,0.8137,0.7749,0.7577,0.7143,0.7180,0.6408,0.5852","0.1798,0.1023,1.0482,1.1505,0.4602,0.5891,0.4577,0.3095,0.3433,0.3874,0.4862,0.4029,0.3882,0.3431,0.1811,0.2285,0.2293,0.3438,0.3616,0.3266,0.4125,0.3206,0.3224,0.2970,0.3266,0.3558,0.3269,0.3319,0.2785,0.2651,0.2605,0.2385,0.2481,0.2337,0.2385,0.2277,0.2492,0.2456,0.2428,0.2694,0.2572,0.2570,0.2675,0.2437,0.2322,0.2377,0.2521,0.2461,0.2682,0.2680"
