tau,tau_prime,method,final_cos_mean,final_cos_stderr,n_decisive
0.0,0.0,multiframe_map,0.48406570304228413,0.19445699998507435,60
0.0,0.0,bt_map,0.49696021836455073,0.10890415464338848,60
0.0,0.0,bt_map_k,0.8687657683803788,0.0025080525220682547,60
0.0,0.0,bt_map_random,0.4520251467557371,0.15651280168023976,60
0.0,0.0,bt_map_left,0.6884067920245439,0.07173984534186847,60
0.0,0.2,multiframe_map,0.9345190186792834,0.03243727087479634,58
0.0,0.2,bt_map,0.29434161796661895,0.08373158191736654,56
0.0,0.2,bt_map_k,0.7621702736609796,0.08954187728553438,60
0.0,0.2,bt_map_random,0.33802208469552303,0.15326687919838972,60
0.0,0.2,bt_map_left,0.6884067920245439,0.07173984534186847,60
0.0,0.4,multiframe_map,0.5667781158159858,0.10406228067200148,53
0.0,0.4,bt_map,0.6078298526040714,0.21208037019441306,52
0.0,0.4,bt_map_k,0.7621702736609796,0.08954187728553438,60
0.0,0.4,bt_map_random,0.14651943784841184,0.07988232134580818,60
0.0,0.4,bt_map_left,0.6884067920245439,0.07173984534186847,60
0.0,0.6,multiframe_map,0.5515582298353091,0.044879299661031415,56
0.0,0.6,bt_map,0.5873909687850559,0.20325588349000356,51
0.0,0.6,bt_map_k,0.7817423629283425,0.04053653443038941,60
0.0,0.6,bt_map_random,0.19928997987151176,0.08104426205692399,60
0.0,0.6,bt_map_left,0.74253994563393,0.032469907358853765,60
0.0,0.8,multiframe_map,0.19850959882144215,0.0736819779617027,48
0.0,0.8,bt_map,0.3881507474990493,0.17669800237876263,47
0.0,0.8,bt_map_k,0.633707803437243,0.13572823865406713,60
0.0,0.8,bt_map_random,0.2493452568341208,0.11273028119122676,60
0.0,0.8,bt_map_left,0.8035112864662338,0.06219931812288114,60
0.2,0.0,multiframe_map,0.7105130439448119,0.1622515817941054,52
0.2,0.0,bt_map,0.35821962149003034,0.17013393428476453,58
0.2,0.0,bt_map_k,0.3119504911898202,0.2289805483673748,60
0.2,0.0,bt_map_random,0.4518152378685993,0.18963419766652992,60
0.2,0.0,bt_map_left,0.5478934079843011,0.20255000115953048,60
0.2,0.2,multiframe_map,0.9254001485160602,0.028964501499505965,51
0.2,0.2,bt_map,0.15061267264455327,0.09789952743329484,55
0.2,0.2,bt_map_k,0.3119504911898202,0.2289805483673748,60
0.2,0.2,bt_map_random,0.3131406062345347,0.011852128186989143,60
0.2,0.2,bt_map_left,0.5478934079843011,0.20255000115953048,60
0.2,0.4,multiframe_map,0.7973779314558898,0.1199323283013859,48
0.2,0.4,bt_map,0.6134130476098663,0.2255116443378675,49
0.2,0.4,bt_map_k,0.43011468821316656,0.20440478738678822,60
0.2,0.4,bt_map_random,0.12939009113850589,0.08415582864607954,60
0.2,0.4,bt_map_left,0.5478934079843011,0.20255000115953048,60
0.2,0.6,multiframe_map,0.8438478152494104,0.03570012226280878,51
0.2,0.6,bt_map,0.6511293110887924,0.1949219530032505,48
0.2,0.6,bt_map_k,0.5121141237548222,0.19220075714562282,60
0.2,0.6,bt_map_random,0.18497349738197846,0.060591348608583735,60
0.2,0.6,bt_map_left,0.5938179780813798,0.19924253091034813,60
0.2,0.8,multiframe_map,0.5775239812568251,0.13993352694218028,45
0.2,0.8,bt_map,0.4392303859483837,0.15518581880732377,44
0.2,0.8,bt_map_k,0.610507158097433,0.16050939966828154,60
0.2,0.8,bt_map_random,0.2350287743445875,0.10143470350626832,60
0.2,0.8,bt_map_left,0.856991396562039,0.06802144245094345,60
0.4,0.0,multiframe_map,0.7916019537813641,0.06364532647874331,44
0.4,0.0,bt_map,0.3173094517210573,0.09586147377321322,56
0.4,0.0,bt_map_k,0.21958246571311466,0.0841362149996054,60
0.4,0.0,bt_map_random,0.42430514461305185,0.16580324282874404,60
0.4,0.0,bt_map_left,0.6416467022098366,0.1727508914801045,60
0.4,0.2,multiframe_map,0.8726897065182925,0.08286097898341943,44
0.4,0.2,bt_map,0.17815270315117201,0.08629867146500803,49
0.4,0.2,bt_map_k,0.222980233963783,0.08137210478740076,60
0.4,0.2,bt_map_random,0.3159696420080589,0.08013892579705993,60
0.4,0.2,bt_map_left,0.6416467022098366,0.1727508914801045,60
0.4,0.4,multiframe_map,0.9247936491678956,0.03236884524289429,38
0.4,0.4,bt_map,0.5377944353237073,0.17926317450500548,40
0.4,0.4,bt_map_k,0.2279821368366333,0.07730434289177229,60
0.4,0.4,bt_map_random,0.14041721328299053,0.06104885370553449,60
0.4,0.4,bt_map_left,0.6416467022098366,0.1727508914801045,60
0.4,0.6,multiframe_map,0.873374112878512,0.0739311223742181,33
0.4,0.6,bt_map,0.5281153278262075,0.16431413572400924,38
0.4,0.6,bt_map_k,0.4520277124022504,0.22478039069143704,60
0.4,0.6,bt_map_random,0.10242892440696023,0.03277553224770795,60
0.4,0.6,bt_map_left,0.5661691469864348,0.145876389318137,60
0.4,0.8,multiframe_map,0.9183730476013694,0.035179396156409595,39
0.4,0.8,bt_map,0.38728861469761117,0.1556858546847403,33
0.4,0.8,bt_map_k,0.5458665491674102,0.22282047763551993,60
0.4,0.8,bt_map_random,0.13921508552463216,0.05896603316518594,60
0.4,0.8,bt_map_left,0.6942053976907562,0.01362714829524318,60
0.6,0.0,multiframe_map,0.8245056587600978,0.03820866166132421,25
0.6,0.0,bt_map,0.5871119211510684,0.11410789771818705,26
0.6,0.0,bt_map_k,0.6065147568965639,0.16875064761358988,60
0.6,0.0,bt_map_random,0.5553475601045491,0.21724830240015391,60
0.6,0.0,bt_map_left,0.6689029848585495,0.08104297468676075,60
0.6,0.2,multiframe_map,0.8684432087475309,0.03014502970205533,22
0.6,0.2,bt_map,0.5354339107446874,0.0955114538738576,24
0.6,0.2,bt_map_k,0.44215914985482624,0.20802062240197836,60
0.6,0.2,bt_map_random,0.2435791388307409,0.08143776799659035,60
0.6,0.2,bt_map_left,0.6689029848585495,0.08104297468676075,60
0.6,0.4,multiframe_map,0.6217522786277884,0.08223052786068681,16
0.6,0.4,bt_map,0.7645062244079122,0.09659223517124724,20
0.6,0.4,bt_map_k,0.44521165248582756,0.20589961048242608,60
0.6,0.4,bt_map_random,0.2386788312729633,0.08543290505255723,60
0.6,0.4,bt_map_left,0.6689029848585495,0.08104297468676075,60
0.6,0.6,multiframe_map,0.824339198119444,0.09238339604974181,21
0.6,0.6,bt_map,0.7093905339197808,0.1315174417122437,19
0.6,0.6,bt_map_k,0.6432272358922309,0.240085970680392,60
0.6,0.6,bt_map_random,0.3169722878092389,0.04079732038112428,60
0.6,0.6,bt_map_left,0.6373637422570108,0.07992059371841877,60
0.6,0.8,multiframe_map,0.9189954647438029,0.028485383848164132,20
0.6,0.8,bt_map,0.7739448752245813,0.13960371113198375,18
0.6,0.8,bt_map_k,0.6390316619874187,0.2585477727801635,60
0.6,0.8,bt_map_random,0.39781289027429345,0.03983423905801288,60
0.6,0.8,bt_map_left,0.6023984790184275,0.054865296346102536,60
0.8,0.0,multiframe_map,0.5753056935679788,0.07339366503343335,0
0.8,0.0,bt_map,0.8608277919798072,0.04383565895870609,8
0.8,0.0,bt_map_k,0.5066566735511532,0.1373956473303047,47
0.8,0.0,bt_map_random,0.1091705512883262,0.0522622775030503,60
0.8,0.0,bt_map_left,0.664022703720325,0.1696387634811836,60
0.8,0.2,multiframe_map,0.5753056935679788,0.07339366503343335,0
0.8,0.2,bt_map,0.8608277919798072,0.04383565895870609,8
0.8,0.2,bt_map_k,0.5066566735511532,0.1373956473303047,47
0.8,0.2,bt_map_random,0.11627632194131415,0.049133317747281496,60
0.8,0.2,bt_map_left,0.664022703720325,0.1696387634811836,60
0.8,0.4,multiframe_map,0.5753056935679788,0.07339366503343335,0
0.8,0.4,bt_map,0.8608277919798072,0.04383565895870609,8
0.8,0.4,bt_map_k,0.5066566735511532,0.1373956473303047,47
0.8,0.4,bt_map_random,0.19582186424232687,0.058522892002687926,60
0.8,0.4,bt_map_left,0.664022703720325,0.1696387634811836,60
0.8,0.6,multiframe_map,0.5753056935679788,0.07339366503343335,0
0.8,0.6,bt_map,0.8608277919798072,0.04383565895870609,8
0.8,0.6,bt_map_k,0.5066566735511532,0.1373956473303047,47
0.8,0.6,bt_map_random,0.3063283513392334,0.03599140481205988,60
0.8,0.6,bt_map_left,0.6243329124976064,0.1494305441900227,60
0.8,0.8,multiframe_map,0.5753056935679788,0.07339366503343335,0
0.8,0.8,bt_map,0.8608277919798072,0.04383565895870609,8
0.8,0.8,bt_map_k,0.31867218964004657,0.18253519180715239,45
0.8,0.8,bt_map_random,0.3063283513392334,0.03599140481205988,60
0.8,0.8,bt_map_left,0.6243329124976064,0.1494305441900227,60
